parish,state,project,name,contrac_status,field_status,start_date,end_date,total_mi,mi_remain_plan,mi_remain_contrac_adj,passings,passings_remain_plan,passings_remain_contrac_adj,nepa_overlap_mi,nepa_approved_mi,nepa_blocked_mi,nepa_status,nepa_passing_at_risk,bead_passing,bead_complete_contrac_adj,bead_remain_contrac_adj,bead_rc_points_total,bead_rc_RC1_2,bead_rc_RC3,bead_rc_RC4,bead_rc_RC5_BDC,bead_rc_RC5_OTHER,bead_rc_Jason_Cut,labor_remain_usd,material_remain_usd,unsplit_remain_usd,mainline_remain_usd_total,labor_remain_source,reason_codes,ocius_project_id
Cameron Parish,LA,CA-9796,Cameron Parish-NONE-CA-9796-Construction Area - FW - EACAM Build 3,(no ROQ job),,2027-04-01,2027-07-31,184.05,184.05,184.05,1752.0,1752.0,1752.0,0.0,0.0,0.0,no_data,1752.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Faulkner County,AR,CA-8505,Faulkner County-NONE-CA-8505-Construction Area - Mayflower West,(no ROQ job),in_construction,2025-11-01,2026-05-31,71.8,63.56,63.56,1803.0,1655.0,1655.0,0.0,0.0,0.0,no_data,1655.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1848097.1,874236.16,454356.68,3176689.95,matched_williams825_pin,wave1_pinned_authority,363
De Soto Parish,LA,CA-8922,De Soto Parish-NONE-CA-8922-Construction Area - Frierson,(no ROQ job),in_construction,2028-01-01,2028-08-31,106.03,106.03,106.03,1597.0,1597.0,1597.0,72.02,0.0,72.02,blocked,1597.0,354.0,0.0,354.0,39,0,32,1,0,3,3,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2027-05-01, legal_hold_restart_2028_01",337
Rapides Parish,LA,CA-9366,Rapides Parish-NONE-CA-9366-Construction Area - Rapides West RDOF,(no ROQ job),in_construction,2026-04-01,2026-08-31,69.69,69.69,69.69,1581.0,1581.0,1581.0,73.72,0.0,73.72,blocked,1581.0,562.0,0.0,562.0,19,0,12,0,0,0,7,1280403.41,714858.91,753795.25,2749057.58,matched_williams825_pin,wave1_pinned_authority,429
Tensas Parish,LA,CA-8948,Tensas Parish-NONE-CA-8948-Construction Area - Tensas,Loaded,in_construction,2026-03-01,2026-08-31,124.12,124.12,124.12,1563.0,1563.0,1563.0,91.15,91.15,0.0,clear,0.0,430.0,0.0,430.0,309,0,22,0,0,0,287,2334336.11,1051578.32,785464.38,4171378.81,matched_williams825_pin,wave1_pinned_authority,407
Winn Parish,LA,CA-8504,Winn Parish-NONE-CA-8504-Construction Area - Winn South Remaining,(no ROQ job),in_construction,2026-09-15,2026-11-14,25.65,25.65,25.65,1563.0,1563.0,1563.0,20.24,20.24,0.0,clear,0.0,242.0,0.0,242.0,23,0,13,0,0,0,10,660256.22,363632.85,288636.37,1312525.44,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825",384
Rapides Parish,LA,CA-9368,Rapides Parish-NONE-CA-9368-Construction Area - Rapides Central RDOF,(no ROQ job),in_construction,2026-08-01,2027-02-28,45.02,45.02,45.02,1537.0,1537.0,1537.0,33.09,0.0,33.09,blocked,1537.0,167.0,0.0,167.0,10,0,10,0,0,0,0,877304.73,473075.45,284914.92,1635295.09,matched_williams825_pin,"wave1_pinned_authority, wave1_ic_remain_from_now",430
Lafayette Parish,LA,CDA-27386,Lafayette Parish-NONE-CDA-27386-Stat Area - 2027 - CDA-27386,(no ROQ job),not_started,2026-11-01,2027-06-30,32.24,32.24,32.24,1356.0,1356.0,1356.0,26.4,0.0,26.4,blocked,1356.0,357.0,0.0,357.0,21,0,21,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Rapides Parish,LA,CA-9367,Rapides Parish-NONE-CA-9367-Construction Area - Rapides Southwest RDOF,(no ROQ job),in_construction,2026-04-01,2026-08-31,65.63,65.63,65.63,1340.0,1340.0,1340.0,79.52,0.0,79.52,blocked,1340.0,1069.0,0.0,1069.0,55,0,50,1,0,0,4,1228067.07,632098.44,709831.47,2569996.99,matched_williams825_pin,wave1_pinned_authority,431
De Soto Parish,LA,CA-8950,"De Soto Parish-NONE-CA-8950-Construction Area - Gloster, LA",(no ROQ job),in_construction,2028-01-01,2028-05-31,29.87,29.87,29.87,1326.0,1326.0,1326.0,24.46,0.0,24.46,blocked,1326.0,248.0,0.0,248.0,11,0,11,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-07-01, legal_hold_restart_2028_01",
Rapides Parish,LA,CA-9369,Rapides Parish-NONE-CA-9369-Construction Area - Rapides South RDOF,(no ROQ job),in_construction,2026-08-01,2027-02-28,34.14,34.14,34.14,1239.0,1239.0,1239.0,37.61,36.29,1.32,partial,1239.0,245.0,0.0,245.0,26,0,25,0,0,0,1,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now",
Avoyelles Parish,LA,CA-8934,Avoyelles Parish-NONE-CA-8934-Construction Area - Avoyelles Extended North,(no ROQ job),in_construction,2026-09-15,2027-02-14,69.36,69.36,69.36,1231.0,1231.0,1231.0,48.95,0.0,48.95,blocked,1231.0,592.0,0.0,592.0,45,0,20,0,0,0,25,249778.89,679473.46,501414.78,1430667.13,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825",408
De Soto Parish,LA,CA-8925,De Soto Parish-NONE-CA-8925-Construction Area - Logansport,(no ROQ job),in_construction,2028-01-01,2028-06-30,48.72,48.72,48.72,1221.0,1221.0,1221.0,42.47,0.0,42.47,blocked,1221.0,360.0,0.0,360.0,19,0,19,0,0,0,0,1253963.74,593183.36,308288.35,2155435.44,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-05-01, legal_hold_restart_2028_01",386
Jefferson Davis Parish,LA,CA-9811,Jefferson Davis Parish-NONE-CA-9811-Construction Area - Elton Service Area,(no ROQ job),,2027-05-01,2027-07-31,57.19,55.8,55.8,1221.0,1221.0,1221.0,31.34,31.34,0.0,clear,0.0,103.0,0.0,103.0,15,0,2,0,0,0,13,,,,,no_ocius_job_match,"newborn_hi_only, newborn_status_strong",
Evangeline Parish,LA,CA-8960,Evangeline Parish-NONE-CA-8960-Construction Area - Evangeline North,Loaded,in_construction,2026-03-01,2026-05-31,74.84,74.84,74.84,1204.0,1204.0,1204.0,47.59,47.59,0.0,clear,0.0,800.0,0.0,800.0,122,0,79,0,18,8,17,724350.74,346045.53,809535.39,1879931.66,matched_williams825_pin,wave1_pinned_authority,416
Winn Parish,LA,CA-8503,Winn Parish-NONE-CA-8503-Construction Area - Winn North Remaining,(no ROQ job),in_construction,2026-09-15,2026-10-14,12.9,12.9,12.9,1139.0,1139.0,1139.0,7.32,7.32,0.0,clear,0.0,245.0,0.0,245.0,15,0,15,0,0,0,0,412936.27,254335.22,257473.31,924744.8,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825",385
